respondent_id,year,district,region,gender,age,urban_rural,parent_education,monthly_household_income_ugx,completed,dropout
R00245,2023,Masaka,Central,Female,17,Rural,didnot attend school,445627,0,1
R00246,2023,Fort Portal,Western,Female,17,Rural,University,1242886,0,1
R00247,2022,Gulu,Northern,Female,15,Urban,Primary,544361,1,0
R00248,2023,Arua,Northern,Female,19,Rural,University,97846,0,1
R00249,2021,Gulu,Northern,Female,15,Urban,University,349681,0,1
R00250,2023,Fort Portal,Western,Female,14,Rural,Tertiary,1833221,1,0
R00251,2023,Soroti,Eastern,Female,16,Rural,Primary,388729,0,1
R00252,2023,Gulu,Northern,Male,19,Urban,Primary,207696,0,1
R00253,2024,Soroti,Eastern,Male,20,Rural,Tertiary,112686,1,0
R00254,2021,Mbale,Eastern,Female,15,Urban,Primary,2240535,0,1
R00255,2021,Kampala,Central,Female,16,Urban,Primary,455420,1,0
R00256,2022,Gulu,Northern,Male,20,Urban,Secondary,302728,0,1
R00257,2024,Jinja,Eastern,Female,19,Urban,University,203278,1,0
R00258,2021,Soroti,Eastern,Male,15,Rural,Secondary,155189,1,0
R00259,2023,Fort Portal,Western,Female,20,Rural,Secondary,61579,0,1
R00260,2024,Kampala,Central,Female,16,Urban,didnot attend school,2759096,1,0
R00261,2023,Arua,Northern,Female,16,Rural,Secondary,391474,1,0
R00262,2023,Masaka,Central,Female,20,Rural,University,2665830,0,1
R00263,2024,Arua,Northern,Male,15,Rural,didnot attend school,15675,1,0
R00264,2021,Gulu,Northern,Male,13,Urban,Secondary,26389,1,0
R00265,2022,Kampala,Central,Female,12,Urban,Tertiary,492617,1,0
R00266,2022,Soroti,Eastern,Male,17,Rural,Secondary,473282,0,1
R00267,2022,Soroti,Eastern,Male,18,Rural,Secondary,1128253,0,1
R00268,2021,Lira,Northern,Male,13,Rural,Secondary,1611562,1,0
R00269,2023,Mbale,Eastern,Male,18,Urban,Primary,449708,0,1
R00270,2021,Mbarara,Western,Male,17,Urban,Primary,1531311,0,1
R00271,2022,Mbarara,Western,Male,19,Urban,Tertiary,313525,0,1
R00272,2023,Soroti,Eastern,Female,18,Rural,Tertiary,454336,0,1
R00273,2021,Kampala,Central,Male,19,Urban,Tertiary,253241,1,0
R00274,2023,Gulu,Northern,Female,19,Urban,University,1940232,1,0
R00275,2022,Masaka,Central,Male,12,Rural,Secondary,21532,1,0
R00276,2023,Soroti,Eastern,Male,12,Rural,Secondary,224291,1,0
R00277,2024,Fort Portal,Western,Male,17,Rural,Tertiary,304402,1,0
R00278,2024,Jinja,Eastern,Female,18,Urban,Secondary,241308,0,1
R00279,2023,Fort Portal,Western,Male,14,Rural,Secondary,443398,1,0
R00280,2023,Soroti,Eastern,Male,13,Rural,Tertiary,85439,0,1
R00281,2023,Soroti,Eastern,Female,19,Rural,Tertiary,2292025,0,1
R00282,2021,Fort Portal,Western,Female,17,Rural,Primary,2444470,0,1
R00283,2022,Masaka,Central,Male,16,Rural,Primary,2208756,0,1
R00284,2024,Jinja,Eastern,Female,13,Urban,didnot attend school,351365,0,1
R00285,2023,Jinja,Eastern,Male,19,Urban,Secondary,1706375,1,0
R00286,2024,Mbale,Eastern,Female,15,Urban,didnot attend school,128439,0,1
R00287,2021,Gulu,Northern,Male,17,Urban,Primary,240397,1,0
R00288,2023,Jinja,Eastern,Male,18,Urban,Secondary,1161447,1,0
R00289,2023,Mbarara,Western,Male,12,Urban,Primary,20798,0,1
R00290,2024,Gulu,Northern,Female,13,Urban,Secondary,313049,1,0
R00291,2023,Kampala,Central,Female,16,Urban,didnot attend school,294277,0,1
R00292,2024,Gulu,Northern,Male,18,Urban,didnot attend school,489078,1,0
R00293,2023,Arua,Northern,Male,15,Rural,Tertiary,118953,0,1
R00294,2024,Gulu,Northern,Female,13,Urban,Primary,2017433,0,1
R00295,2023,Masaka,Central,Male,14,Rural,didnot attend school,275824,1,0
R00296,2023,Kampala,Central,Male,12,Urban,Secondary,132801,0,1
R00297,2022,Lira,Northern,Female,12,Rural,Tertiary,284727,1,0
R00298,2021,Soroti,Eastern,Female,18,Rural,Primary,235769,0,1
R00299,2024,Gulu,Northern,Male,17,Urban,Secondary,301416,0,1
R00300,2023,Lira,Northern,Male,17,Rural,didnot attend school,958249,1,0
R00301,2022,Soroti,Eastern,Male,16,Rural,didnot attend school,11158,0,1
R00302,2023,Mbarara,Western,Male,16,Urban,Secondary,235510,1,0
R00303,2024,Fort Portal,Western,Female,18,Rural,Secondary,355170,0,1
R00304,2021,Jinja,Eastern,Female,13,Urban,Secondary,385435,1,0
R00305,2024,Lira,Northern,Female,20,Rural,Secondary,472371,0,1
R00306,2024,Masaka,Central,Female,16,Rural,University,217290,0,1
R00307,2023,Soroti,Eastern,Male,13,Rural,Secondary,266033,1,0
R00308,2023,Arua,Northern,Male,15,Rural,Primary,111058,0,1
R00309,2024,Lira,Northern,Male,16,Rural,Tertiary,144758,1,0
R00310,2022,Mbarara,Western,Male,18,Urban,Primary,179942,1,0
R00311,2021,Masaka,Central,Female,17,Rural,Primary,319493,0,1
R00312,2021,Jinja,Eastern,Male,16,Urban,didnot attend school,417304,0,1
R00313,2024,Lira,Northern,Female,15,Rural,didnot attend school,114612,0,1
R00314,2023,Mbale,Eastern,Male,12,Urban,University,373342,1,0
R00315,2023,Mbarara,Western,Female,13,Urban,Tertiary,2267366,0,1
R00316,2022,Gulu,Northern,Female,19,Urban,Secondary,315676,1,0
R00317,2024,Jinja,Eastern,Female,20,Urban,Primary,335010,0,1
R00318,2022,Mbale,Eastern,Female,14,Urban,Primary,46087,0,1
R00319,2022,Gulu,Northern,Male,16,Urban,Primary,433440,0,1
R00320,2022,Lira,Northern,Female,12,Rural,Primary,423406,1,0
R00321,2022,Arua,Northern,Male,18,Rural,Secondary,15024,0,1
R00322,2021,Mbarara,Western,Male,14,Urban,Secondary,380176,0,1
R00323,2024,Mbarara,Western,Female,16,Urban,Secondary,190687,1,0
R00324,2023,Soroti,Eastern,Female,19,Rural,Primary,221600,0,1
R00325,2024,Mbarara,Western,Female,20,Urban,University,1421511,1,0
R00326,2023,Mbale,Eastern,Female,18,Urban,Secondary,278164,1,0
R00327,2024,Masaka,Central,Male,16,Rural,Secondary,23832,0,1
R00328,2023,Kampala,Central,Male,18,Urban,Secondary,1432408,1,0
R00329,2024,Gulu,Northern,Male,19,Urban,Primary,127364,1,0
R00330,2022,Fort Portal,Western,Male,13,Rural,Primary,97974,0,1
R00331,2021,Lira,Northern,Female,18,Rural,Primary,123938,0,1
R00332,2023,Fort Portal,Western,Male,13,Rural,Tertiary,509613,1,0
R00333,2024,Gulu,Northern,Male,19,Urban,didnot attend school,471240,0,1
R00334,2023,Fort Portal,Western,Male,19,Rural,didnot attend school,485969,0,1
R00335,2021,Jinja,Eastern,Female,17,Urban,didnot attend school,227977,0,1
R00336,2024,Lira,Northern,Male,13,Rural,didnot attend school,885167,1,0
R00337,2022,Mbale,Eastern,Female,13,Urban,Tertiary,1320078,0,1
R00338,2022,Lira,Northern,Male,18,Rural,Secondary,21036,1,0
R00339,2024,Lira,Northern,Female,12,Rural,Primary,230120,1,0
R00340,2024,Mbarara,Western,Male,19,Urban,didnot attend school,480012,0,1
R00341,2021,Lira,Northern,Male,20,Rural,Primary,369258,0,1
R00342,2023,Jinja,Eastern,Female,16,Urban,Primary,162448,1,0
R00343,2024,Mbarara,Western,Male,12,Urban,Primary,436429,1,0
R00344,2022,Arua,Northern,Male,15,Rural,Primary,186492,0,1
R00345,2021,Gulu,Northern,Female,16,Urban,Primary,357493,0,1
R00346,2022,Masaka,Central,Male,19,Rural,Secondary,418907,0,1
R00347,2022,Soroti,Eastern,Female,16,Rural,Secondary,178437,0,1
R00348,2021,Soroti,Eastern,Male,13,Rural,didnot attend school,51819,0,1
R00349,2022,Jinja,Eastern,Female,15,Urban,Primary,175762,1,0
R00350,2024,Fort Portal,Western,Female,17,Rural,Secondary,288311,1,0
R00351,2024,Arua,Northern,Male,13,Rural,Secondary,60141,0,1
R00352,2024,Arua,Northern,Female,19,Rural,Tertiary,141312,1,0
R00353,2024,Fort Portal,Western,Female,16,Rural,Secondary,304508,0,1
R00354,2022,Mbarara,Western,Male,15,Urban,Primary,459039,1,0
R00355,2023,Mbale,Eastern,Male,14,Urban,didnot attend school,1839004,0,1
R00356,2021,Masaka,Central,Male,14,Rural,Secondary,156627,1,0
R00357,2023,Mbale,Eastern,Male,19,Urban,didnot attend school,116225,1,0
R00358,2021,Fort Portal,Western,Male,20,Rural,Secondary,159048,1,0
R00359,2021,Arua,Northern,Female,13,Rural,University,326140,0,1
R00360,2023,Jinja,Eastern,Male,16,Urban,Secondary,116205,0,1
R00361,2023,Arua,Northern,Female,13,Rural,Primary,498844,0,1
R00362,2021,Arua,Northern,Male,16,Rural,Secondary,2167251,0,1
R00363,2023,Lira,Northern,Male,13,Rural,Primary,414966,1,0
R00364,2024,Fort Portal,Western,Male,19,Rural,Secondary,410688,0,1
R00365,2021,Fort Portal,Western,Male,14,Rural,University,119789,0,1
R00366,2024,Mbale,Eastern,Male,12,Urban,Primary,1891593,1,0
R00367,2021,Gulu,Northern,Female,14,Urban,University,164495,0,1
R00368,2024,Kampala,Central,Male,20,Urban,University,98840,1,0
R00369,2024,Gulu,Northern,Male,20,Urban,Primary,278931,0,1
R00370,2022,Soroti,Eastern,Male,20,Rural,didnot attend school,1208215,0,1
R00371,2023,Mbarara,Western,Female,18,Urban,didnot attend school,460444,0,1
R00372,2021,Arua,Northern,Female,13,Rural,didnot attend school,88462,0,1
R00373,2021,Masaka,Central,Female,18,Rural,didnot attend school,127475,0,1
R00374,2024,Jinja,Eastern,Female,13,Urban,Secondary,57580,1,0
