Id,Year,Age dimension,Codes for death causes,Deaths Rounded off,Number of child Deaths,Date,TimeDimensionBegin,TimeDimensionEnd,Country,Sex,Child age,Causes of death
21123,2001,AGEGROUP_YEARS0-4,CHILDCAUSE_CH15,70.0,70.40387,2024-03-25T14:04:48Z,01-01-01,31-12-01,Djibouti,Both sexes,0-4 years of age,Congenital anomalies
24530,2013,AGEGROUP_DAYS0-27,CHILDCAUSE_CH8,0.0,0.0,2023-11-20T09:39:06Z,01-01-13,31-12-13,Uganda,Both sexes,0-27 days,Malaria
26090,2013,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH5,22.5,22.48028,2023-11-20T09:55:39Z,01-01-13,31-12-13,Ethiopia,Both sexes,1-59 months,Tetanus
28902,2001,AGEGROUP_YEARS0-4,CHILDCAUSE_CH3,1029.0,1029.02518,2024-03-25T14:04:48Z,01-01-01,31-12-01,Eritrea,Both sexes,0-4 years of age,Diarrhoeal diseases
29067,2001,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,977.5,977.45412,2023-11-20T10:14:06Z,01-01-01,31-12-01,Eritrea,Both sexes,1-59 months,Diarrhoeal diseases
29139,2009,AGEGROUP_DAYS0-27,CHILDCAUSE_CH2,14.1,14.11062,2023-11-20T09:53:50Z,01-01-09,31-12-09,Rwanda,Both sexes,0-27 days,HIV/AIDS
29330,2010,AGEGROUP_DAYS0-27,CHILDCAUSE_CH7,274.8,274.80482,2023-11-20T10:08:34Z,01-01-10,31-12-10,Somalia,Both sexes,0-27 days,Meningitis/encephalitis
29688,2011,AGEGROUP_YEARS0-4,CHILDCAUSE_CH12,1211.0,1210.53513,2024-03-25T14:04:48Z,01-01-11,31-12-11,South Sudan,Both sexes,0-4 years of age,Sepsis and other infectious conditions of the newborn
29900,2013,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,0.0,0.0,2023-11-20T09:25:12Z,01-01-13,31-12-13,Djibouti,Both sexes,1-59 months,Malaria
30874,2015,AGEGROUP_YEARS0-4,CHILDCAUSE_CH18,1223.0,1222.61418,2024-03-25T14:04:48Z,01-01-15,31-12-15,Somalia,Both sexes,0-4 years of age,Tuberculosis
33774,2016,AGEGROUP_YEARS0-4,CHILDCAUSE_CH3,1453.0,1453.1727,2024-03-25T14:04:48Z,01-01-16,31-12-16,Rwanda,Both sexes,0-4 years of age,Diarrhoeal diseases
35112,2002,AGEGROUP_DAYS0-27,CHILDCAUSE_CH17,105.5,105.54035,2023-11-20T10:03:09Z,01-01-02,31-12-02,Kenya,Both sexes,0-27 days,Injuries
35253,2007,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,114.5,114.46785,2023-11-20T10:03:35Z,01-01-07,31-12-07,Somalia,Both sexes,1-59 months,Congenital anomalies
35613,2009,AGEGROUP_DAYS0-27,CHILDCAUSE_CH18,0.0,0.0,2023-11-20T09:36:43Z,01-01-09,31-12-09,Somalia,Both sexes,0-27 days,Tuberculosis
36163,2006,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH16,1327.0,1326.99329,2023-11-20T10:15:11Z,01-01-06,31-12-06,Rwanda,Both sexes,1-59 months,Other noncommunicable diseases (postneonatal only)
37145,2008,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,996.7,996.68799,2023-11-20T10:14:10Z,01-01-08,31-12-08,Somalia,Both sexes,1-59 months,Tuberculosis
37861,2001,AGEGROUP_YEARS0-4,CHILDCAUSE_CH12,722.0,721.77153,2024-03-25T14:04:48Z,01-01-01,31-12-01,Burundi,Both sexes,0-4 years of age,Sepsis and other infectious conditions of the newborn
37939,2002,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,27.8,27.8171,2023-11-20T09:56:30Z,01-01-02,31-12-02,Rwanda,Both sexes,1-59 months,Tuberculosis
43020,2014,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,3211.5,3211.53933,2023-11-20T10:18:05Z,01-01-14,31-12-14,Burundi,Both sexes,1-59 months,Diarrhoeal diseases
45594,2003,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH9,6627.6,6627.57315,2023-11-20T10:19:44Z,01-01-03,31-12-03,Burundi,Both sexes,1-59 months,Acute lower respiratory infections
46214,2014,AGEGROUP_DAYS0-27,CHILDCAUSE_CH9,2178.8,2178.78131,2023-11-20T10:16:49Z,01-01-14,31-12-14,South Sudan,Both sexes,0-27 days,Acute lower respiratory infections
46992,2019,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH7,1029.9,1029.88856,2023-11-20T10:14:17Z,01-01-19,31-12-19,South Sudan,Both sexes,1-59 months,Meningitis/encephalitis
47865,2005,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,684.7,684.65605,2023-11-20T10:12:37Z,01-01-05,31-12-05,Uganda,Both sexes,1-59 months,Congenital anomalies
48187,2002,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH5,15.7,15.6887,2023-11-20T09:54:15Z,01-01-02,31-12-02,Uganda,Both sexes,1-59 months,Tetanus
49992,2005,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH9,55087.8,55087.79358,2023-11-20T10:22:03Z,01-01-05,31-12-05,Ethiopia,Both sexes,1-59 months,Acute lower respiratory infections
50603,2000,AGEGROUP_YEARS0-4,CHILDCAUSE_CH18,941.0,940.5683,2024-03-25T14:04:48Z,01-01-00,31-12-00,Somalia,Both sexes,0-4 years of age,Tuberculosis
50947,2018,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,1207.3,1207.28228,2023-11-20T10:14:50Z,01-01-18,31-12-18,Rwanda,Both sexes,1-59 months,Congenital anomalies
53234,2013,AGEGROUP_DAYS0-27,CHILDCAUSE_CH17,2.6,2.55788,2023-11-20T09:46:47Z,01-01-13,31-12-13,Djibouti,Both sexes,0-27 days,Injuries
54628,2016,AGEGROUP_DAYS0-27,CHILDCAUSE_CH2,30.3,30.27812,2023-11-20T09:57:02Z,01-01-16,31-12-16,Ethiopia,Both sexes,0-27 days,HIV/AIDS
56512,2005,AGEGROUP_YEARS0-4,CHILDCAUSE_CH16,2352.1143790849674,2404.900825714286,2024-03-25T14:04:48Z,01-01-05,31-12-05,Burundi,Both sexes,0-4 years of age,Other noncommunicable diseases (postneonatal only)
57306,2021,AGEGROUP_YEARS0-4,CHILDCAUSE_CH13,133.2694805194805,133.27039600649348,2024-03-25T14:04:48Z,01-01-21,31-12-21,Djibouti,Both sexes,0-4 years of age,Other Group 1 (postneonatal only)
57511,2008,AGEGROUP_YEARS0-4,CHILDCAUSE_CH13,2352.1143790849674,2404.900825714286,2024-03-25T14:04:48Z,01-01-08,31-12-08,Burundi,Both sexes,0-4 years of age,Other Group 1 (postneonatal only)
61103,2018,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH7,2864.4,2864.39411,2023-11-20T10:17:43Z,01-01-18,31-12-18,Ethiopia,Both sexes,1-59 months,Meningitis/encephalitis
61959,2017,AGEGROUP_YEARS0-4,CHILDCAUSE_CH11,8319.0,8318.87986,2024-03-25T14:04:48Z,01-01-17,31-12-17,Kenya,Both sexes,0-4 years of age,Birth asphyxia and birth trauma
62095,2006,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,14942.0,14941.98567,2023-11-20T10:21:05Z,01-01-06,31-12-06,Somalia,Both sexes,1-59 months,Diarrhoeal diseases
62873,2021,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,27.3,27.27233,2023-11-20T09:56:26Z,01-01-21,31-12-21,Rwanda,Both sexes,1-59 months,Measles
67768,2015,AGEGROUP_YEARS0-4,CHILDCAUSE_CH10,4799.012738853503,40575.89778,2024-03-25T14:04:48Z,01-01-15,31-12-15,Ethiopia,Both sexes,0-4 years of age,Prematurity
68363,2005,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:36:55Z,01-01-05,31-12-05,South Sudan,Both sexes,0-27 days,Measles
69238,2009,AGEGROUP_YEARS0-4,CHILDCAUSE_CH7,353.0,352.72582,2024-03-25T14:04:48Z,01-01-09,31-12-09,Rwanda,Both sexes,0-4 years of age,Meningitis/encephalitis
70394,2004,AGEGROUP_DAYS0-27,CHILDCAUSE_CH15,707.7,707.66427,2023-11-20T10:12:46Z,01-01-04,31-12-04,Somalia,Both sexes,0-27 days,Congenital anomalies
74197,2004,AGEGROUP_DAYS0-27,CHILDCAUSE_CH11,8926.5,8926.53848,2023-11-20T10:20:20Z,01-01-04,31-12-04,Kenya,Both sexes,0-27 days,Birth asphyxia and birth trauma
76350,2015,AGEGROUP_YEARS0-4,CHILDCAUSE_CH3,5220.0,5220.41357,2024-03-25T14:04:48Z,01-01-15,31-12-15,Uganda,Both sexes,0-4 years of age,Diarrhoeal diseases
79382,2006,AGEGROUP_DAYS0-27,CHILDCAUSE_CH7,20.4,20.39265,2023-11-20T09:55:18Z,01-01-06,31-12-06,Eritrea,Both sexes,0-27 days,Meningitis/encephalitis
82242,2009,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,190.2,190.17538,2023-11-20T10:06:09Z,01-01-09,31-12-09,Eritrea,Both sexes,1-59 months,Congenital anomalies
82384,2017,AGEGROUP_DAYS0-27,CHILDCAUSE_CH7,219.3,219.2816,2023-11-20T10:07:29Z,01-01-17,31-12-17,Kenya,Both sexes,0-27 days,Meningitis/encephalitis
83641,2012,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,940.9,940.91714,2023-11-20T10:13:57Z,01-01-12,31-12-12,Uganda,Both sexes,1-59 months,Measles
84630,2013,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,21.0,21.0,2023-11-20T09:55:25Z,01-01-13,31-12-13,Eritrea,Both sexes,1-59 months,Malaria
85112,2010,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH10,534.1,534.13598,2023-11-20T10:11:32Z,01-01-10,31-12-10,Burundi,Both sexes,1-59 months,Prematurity
85470,2011,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH17,69.5,69.45063,2023-11-20T10:01:03Z,01-01-11,31-12-11,Djibouti,Both sexes,1-59 months,Injuries
86240,2003,AGEGROUP_DAYS0-27,CHILDCAUSE_CH19,1248.1,1248.06372,2023-11-20T10:14:57Z,01-01-03,31-12-03,Rwanda,Both sexes,0-27 days,Other Group 1 and Other noncommunicable (neonatal and under-5 only)
86398,2002,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,3696.6,3696.57748,2023-11-20T10:18:27Z,01-01-02,31-12-02,Rwanda,Both sexes,1-59 months,Malaria
87860,2016,AGEGROUP_DAYS0-27,CHILDCAUSE_CH8,0.0,0.0,2023-11-20T09:39:06Z,01-01-16,31-12-16,Uganda,Both sexes,0-27 days,Malaria
88808,2002,AGEGROUP_DAYS0-27,CHILDCAUSE_CH9,1375.9,1375.94308,2023-11-20T10:15:19Z,01-01-02,31-12-02,Rwanda,Both sexes,0-27 days,Acute lower respiratory infections
89113,2006,AGEGROUP_DAYS0-27,CHILDCAUSE_CH11,8995.7,8995.73064,2023-11-20T10:20:21Z,01-01-06,31-12-06,Kenya,Both sexes,0-27 days,Birth asphyxia and birth trauma
90240,2016,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH2,14.9,14.94983,2023-11-20T09:54:03Z,01-01-16,31-12-16,Djibouti,Both sexes,1-59 months,HIV/AIDS
90861,2008,AGEGROUP_YEARS0-4,CHILDCAUSE_CH17,704.0,704.42672,2024-03-25T14:04:48Z,01-01-08,31-12-08,South Sudan,Both sexes,0-4 years of age,Injuries
91836,2016,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:36:55Z,01-01-16,31-12-16,South Sudan,Both sexes,0-27 days,Measles
92339,2006,AGEGROUP_YEARS0-4,CHILDCAUSE_CH19,358.0,357.82021,2024-03-25T14:04:48Z,01-01-06,31-12-06,Djibouti,Both sexes,0-4 years of age,Other Group 1 and Other noncommunicable (neonatal and under-5 only)
96533,2005,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,30.6,30.57652,2023-11-20T09:57:05Z,01-01-05,31-12-05,Rwanda,Both sexes,1-59 months,Tuberculosis
98066,2011,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH9,19236.6,19236.55907,2023-11-20T10:21:20Z,01-01-11,31-12-11,Somalia,Both sexes,1-59 months,Acute lower respiratory infections
99291,2002,AGEGROUP_YEARS0-4,CHILDCAUSE_CH12,4799.012738853503,11857.83598,2024-03-25T14:04:48Z,01-01-02,31-12-02,Ethiopia,Both sexes,0-4 years of age,Sepsis and other infectious conditions of the newborn
100148,2014,AGEGROUP_DAYS0-27,CHILDCAUSE_CH15,992.4,992.43954,2023-11-20T10:14:09Z,01-01-14,31-12-14,Somalia,Both sexes,0-27 days,Congenital anomalies
100717,2018,AGEGROUP_YEARS0-4,CHILDCAUSE_CH15,101.0,101.37359,2024-03-25T14:04:48Z,01-01-18,31-12-18,Djibouti,Both sexes,0-4 years of age,Congenital anomalies
101526,2003,AGEGROUP_YEARS0-4,CHILDCAUSE_CH9,3534.225,17997.19445,2024-03-25T14:04:48Z,01-01-03,31-12-03,Kenya,Both sexes,0-4 years of age,Acute lower respiratory infections
102112,2010,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,35.5,35.51548,2023-11-20T09:57:44Z,01-01-10,31-12-10,Rwanda,Both sexes,1-59 months,Tuberculosis
103188,2001,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:25:52Z,01-01-01,31-12-01,Eritrea,Both sexes,0-27 days,Measles
103858,2020,AGEGROUP_YEARS0-4,CHILDCAUSE_CH10,4723.0,4722.86679,2024-03-25T14:04:48Z,01-01-20,31-12-20,South Sudan,Both sexes,0-4 years of age,Prematurity
104272,2004,AGEGROUP_DAYS0-27,CHILDCAUSE_CH5,7.2,7.23269,2023-11-20T09:50:29Z,01-01-04,31-12-04,Eritrea,Both sexes,0-27 days,Tetanus
105194,2009,AGEGROUP_YEARS0-4,CHILDCAUSE_CH9,2423.76,21901.40179,2024-03-25T14:04:48Z,01-01-09,31-12-09,Somalia,Both sexes,0-4 years of age,Acute lower respiratory infections
105263,2000,AGEGROUP_YEARS0-4,CHILDCAUSE_CH11,4465.0,4464.67086,2024-03-25T14:04:48Z,01-01-00,31-12-00,South Sudan,Both sexes,0-4 years of age,Birth asphyxia and birth trauma
106592,2000,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH10,212.1,212.09267,2023-11-20T10:07:20Z,01-01-00,31-12-00,Somalia,Both sexes,1-59 months,Prematurity
106993,2011,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH10,448.3,448.32642,2023-11-20T10:10:46Z,01-01-11,31-12-11,Rwanda,Both sexes,1-59 months,Prematurity
107649,2002,AGEGROUP_DAYS0-27,CHILDCAUSE_CH5,4055.4,4055.37746,2023-11-20T10:18:42Z,01-01-02,31-12-02,Ethiopia,Both sexes,0-27 days,Tetanus
108009,2006,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,465.8,465.81565,2023-11-20T10:10:56Z,01-01-06,31-12-06,Rwanda,Both sexes,1-59 months,Measles
110629,2014,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:35:50Z,01-01-14,31-12-14,Rwanda,Both sexes,0-27 days,Measles
111915,2014,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH2,2116.6,2116.6311,2023-11-20T10:16:44Z,01-01-14,31-12-14,Ethiopia,Both sexes,1-59 months,HIV/AIDS
112379,2021,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH13,101.0,100.97216,2023-11-20T10:02:55Z,01-01-21,31-12-21,Djibouti,Both sexes,1-59 months,Other Group 1 (postneonatal only)
112764,2017,AGEGROUP_DAYS0-27,CHILDCAUSE_CH3,7.0,7.00047,2023-11-20T09:50:22Z,01-01-17,31-12-17,Djibouti,Both sexes,0-27 days,Diarrhoeal diseases
114193,2016,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,1857.8,1857.82236,2023-11-20T10:16:20Z,01-01-16,31-12-16,Ethiopia,Both sexes,1-59 months,Tuberculosis
115309,2015,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,168.1,168.14473,2023-11-20T10:05:26Z,01-01-15,31-12-15,South Sudan,Both sexes,1-59 months,Congenital anomalies
115429,2008,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,508.1,508.14123,2023-11-20T10:11:19Z,01-01-08,31-12-08,Burundi,Both sexes,1-59 months,Congenital anomalies
116349,2013,AGEGROUP_YEARS0-4,CHILDCAUSE_CH8,2987.0,2986.72159,2024-03-25T14:04:48Z,01-01-13,31-12-13,Kenya,Both sexes,0-4 years of age,Malaria
116477,2007,AGEGROUP_DAYS0-27,CHILDCAUSE_CH3,123.1,123.10829,2023-11-20T10:03:57Z,01-01-07,31-12-07,Rwanda,Both sexes,0-27 days,Diarrhoeal diseases
116629,2019,AGEGROUP_YEARS0-4,CHILDCAUSE_CH8,7745.0,7745.17046,2024-03-25T14:04:48Z,01-01-19,31-12-19,Uganda,Both sexes,0-4 years of age,Malaria
118695,2002,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,11228.0,11227.97247,2023-11-20T10:20:44Z,01-01-02,31-12-02,Somalia,Both sexes,1-59 months,Diarrhoeal diseases
119733,2013,AGEGROUP_DAYS0-27,CHILDCAUSE_CH11,4441.5,4441.47715,2023-11-20T10:18:53Z,01-01-13,31-12-13,South Sudan,Both sexes,0-27 days,Birth asphyxia and birth trauma
119809,2004,AGEGROUP_YEARS0-4,CHILDCAUSE_CH17,50.0,50.38892,2024-03-25T14:04:48Z,01-01-04,31-12-04,Djibouti,Both sexes,0-4 years of age,Injuries
120032,2014,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH18,45.6,45.5837,2023-11-20T09:58:56Z,01-01-14,31-12-14,Djibouti,Both sexes,1-59 months,Tuberculosis
120906,2018,AGEGROUP_YEARS0-4,CHILDCAUSE_CH13,4799.012738853503,19714.40221581169,2024-03-25T14:04:48Z,01-01-18,31-12-18,Ethiopia,Both sexes,0-4 years of age,Other Group 1 (postneonatal only)
121230,2003,AGEGROUP_YEARS0-4,CHILDCAUSE_CH2,181.0,181.16365,2024-03-25T14:04:48Z,01-01-03,31-12-03,Somalia,Both sexes,0-4 years of age,HIV/AIDS
121664,2003,AGEGROUP_YEARS0-4,CHILDCAUSE_CH16,1821.1155115511551,1989.493064318182,2024-03-25T14:04:48Z,01-01-03,31-12-03,Rwanda,Both sexes,0-4 years of age,Other noncommunicable diseases (postneonatal only)
122634,2003,AGEGROUP_YEARS0-4,CHILDCAUSE_CH16,133.2694805194805,133.27039600649348,2024-03-25T14:04:48Z,01-01-03,31-12-03,Djibouti,Both sexes,0-4 years of age,Other noncommunicable diseases (postneonatal only)
122778,2017,AGEGROUP_YEARS0-4,CHILDCAUSE_CH13,405.0584415584416,405.0943937337662,2024-03-25T14:04:48Z,01-01-17,31-12-17,Eritrea,Both sexes,0-4 years of age,Other Group 1 (postneonatal only)
123010,2016,AGEGROUP_DAYS0-27,CHILDCAUSE_CH11,1752.5,1752.53935,2023-11-20T10:16:09Z,01-01-16,31-12-16,Rwanda,Both sexes,0-27 days,Birth asphyxia and birth trauma
123413,2002,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,0.0,0.0,2023-11-20T09:25:12Z,01-01-02,31-12-02,Djibouti,Both sexes,1-59 months,Malaria
123618,2003,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:29:47Z,01-01-03,31-12-03,Kenya,Both sexes,0-27 days,Measles
124025,2015,AGEGROUP_YEARS0-4,CHILDCAUSE_CH15,1913.0,1912.74469,2024-03-25T14:04:48Z,01-01-15,31-12-15,Rwanda,Both sexes,0-4 years of age,Congenital anomalies
125754,2010,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH16,3273.2,3273.1701,2023-11-20T10:18:08Z,01-01-10,31-12-10,Uganda,Both sexes,1-59 months,Other noncommunicable diseases (postneonatal only)
125774,2004,AGEGROUP_YEARS0-4,CHILDCAUSE_CH8,7.0,7.0,2024-03-25T14:04:48Z,01-01-04,31-12-04,Eritrea,Both sexes,0-4 years of age,Malaria
126843,2000,AGEGROUP_DAYS0-27,CHILDCAUSE_CH18,0.0,0.0,2023-11-20T09:39:05Z,01-01-00,31-12-00,Uganda,Both sexes,0-27 days,Tuberculosis
127144,2010,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,395.0,395.0,2023-11-20T10:10:14Z,01-01-10,31-12-10,Somalia,Both sexes,1-59 months,Malaria
127452,2020,AGEGROUP_YEARS0-4,CHILDCAUSE_CH5,175.0,175.0119,2024-03-25T14:04:48Z,01-01-20,31-12-20,South Sudan,Both sexes,0-4 years of age,Tetanus
128446,2001,AGEGROUP_YEARS0-4,CHILDCAUSE_CH11,688.0,687.97152,2024-03-25T14:04:48Z,01-01-01,31-12-01,Eritrea,Both sexes,0-4 years of age,Birth asphyxia and birth trauma
129534,2017,AGEGROUP_YEARS0-4,CHILDCAUSE_CH9,7937.0,7936.84048,2024-03-25T14:04:48Z,01-01-17,31-12-17,Kenya,Both sexes,0-4 years of age,Acute lower respiratory infections
134101,2014,AGEGROUP_DAYS0-27,CHILDCAUSE_CH19,236.1,236.0807,2023-11-20T10:07:48Z,01-01-14,31-12-14,Eritrea,Both sexes,0-27 days,Other Group 1 and Other noncommunicable (neonatal and under-5 only)
137180,2004,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH11,456.7,456.71043,2023-11-20T10:10:50Z,01-01-04,31-12-04,Rwanda,Both sexes,1-59 months,Birth asphyxia and birth trauma
139843,2019,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:25:52Z,01-01-19,31-12-19,Eritrea,Both sexes,0-27 days,Measles
141028,2000,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH2,73.5,73.45281,2023-11-20T10:01:22Z,01-01-00,31-12-00,Djibouti,Both sexes,1-59 months,HIV/AIDS
142044,2006,AGEGROUP_YEARS0-4,CHILDCAUSE_CH15,1746.0,1745.5258,2024-03-25T14:04:48Z,01-01-06,31-12-06,Rwanda,Both sexes,0-4 years of age,Congenital anomalies
143803,2009,AGEGROUP_YEARS0-4,CHILDCAUSE_CH7,2239.0,2239.23624,2024-03-25T14:04:48Z,01-01-09,31-12-09,Somalia,Both sexes,0-4 years of age,Meningitis/encephalitis
144146,2002,AGEGROUP_DAYS0-27,CHILDCAUSE_CH15,4007.0,4006.98396,2023-11-20T10:18:39Z,01-01-02,31-12-02,Ethiopia,Both sexes,0-27 days,Congenital anomalies
144647,2011,AGEGROUP_YEARS0-4,CHILDCAUSE_CH18,1184.0,1183.57066,2024-03-25T14:04:48Z,01-01-11,31-12-11,Somalia,Both sexes,0-4 years of age,Tuberculosis
